category,title,url,embedding,subtitle
Access to Energy,Number of people with and without access to clean cooking fuels,https://ourworldindata.org/grapher/number-with-without-clean-cooking-fuels,"<iframe src=""https://ourworldindata.org/grapher/number-with-without-clean-cooking-fuels?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Clean cooking fuels and technologies represent non-solid fuels such as natural gas, ethanol or electric technologies."
Access to Energy,Number of people without access to clean fuels for cooking,https://ourworldindata.org/grapher/number-without-clean-cooking-fuel,"<iframe src=""https://ourworldindata.org/grapher/number-without-clean-cooking-fuel?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Clean cooking fuels and technologies represent non-solid fuels such as natural gas, ethanol or electric technologies."
Access to Energy,"People without clean fuels for cooking, by world region",https://ourworldindata.org/grapher/people-without-clean-cooking-fuels-region,"<iframe src=""https://ourworldindata.org/grapher/people-without-clean-cooking-fuels-region?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Data source: World Bank
Access to Energy,Share of the population without access to clean fuels for cooking,https://ourworldindata.org/grapher/share-of-the-population-without-access-to-clean-fuels-for-cooking,"<iframe src=""https://ourworldindata.org/grapher/share-of-the-population-without-access-to-clean-fuels-for-cooking?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Access to clean fuels or technologies such as natural gas, electricity, and clean cookstoves reduces exposure to indoor air pollutants, a leading cause of death in low-income households."
Access to Energy,Share with access to electricity vs. per capita energy consumption,https://ourworldindata.org/grapher/share-with-access-to-electricity-vs-per-capita-energy-consumption,"<iframe src=""https://ourworldindata.org/grapher/share-with-access-to-electricity-vs-per-capita-energy-consumption?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Having access to electricity is defined in international statistics as having an electricity source that can provide very basic lighting, and charge a phone or power a radio for 4 hours per day. Primary energy is measured in kilowatt-hours per person, using the substitution method."
Agricultural Production,Agricultural export subsidies,https://ourworldindata.org/grapher/agricultural-export-subsidies,"<iframe src=""https://ourworldindata.org/grapher/agricultural-export-subsidies?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Agricultural export subsidies are measured in current US dollars.
Agricultural Production,Agricultural general services support,https://ourworldindata.org/grapher/agricultural-general-services-support,"<iframe src=""https://ourworldindata.org/grapher/agricultural-general-services-support?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","The annual monetary value of gross transfers to general services provided to agricultural producers collectively (such as research, development, training, inspection, marketing and promotion), arising from policy measures that support agriculture regardless of their nature, objectives and impacts on farm production, income, or consumption. This does not include any transfers to individual producers."
Agricultural Production,Agricultural land per capita,https://ourworldindata.org/grapher/agricultural-area-per-capita,"<iframe src=""https://ourworldindata.org/grapher/agricultural-area-per-capita?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Agricultural land is the sum of cropland and land used as pasture for grazing livestock.
Agricultural Production,Agricultural land use per person,https://ourworldindata.org/grapher/total-agricultural-land-use-per-person,"<iframe src=""https://ourworldindata.org/grapher/total-agricultural-land-use-per-person?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",This dataset is showing estimates of the total agricultural land area – which is the combination of cropland and grazing land – per person. It is measured in hectares per person.
Agricultural Production,Agricultural output,https://ourworldindata.org/grapher/agricultural-output-dollars,"<iframe src=""https://ourworldindata.org/grapher/agricultural-output-dollars?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Total agricultural output is the sum of crop and livestock products. It is measured in constant 2015 US$, which means it adjusts for inflation."
Agricultural Production,Agricultural producer support,https://ourworldindata.org/grapher/agricultural-producer-support,"<iframe src=""https://ourworldindata.org/grapher/agricultural-producer-support?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","The annual monetary value of gross transfers from consumers and taxpayers to agricultural producers, measured at the farm-gate level, arising from policy measures that support agriculture, regardless of their nature, objectives or impacts on farm production or income."
Agricultural Production,Agriculture orientation index for government expenditures,https://ourworldindata.org/grapher/agriculture-orientation-index,"<iframe src=""https://ourworldindata.org/grapher/agriculture-orientation-index?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",A value greater than 1 means the agriculture sector receives a higher share of government spending relative to its economic value. A value less than 1 reflects a lower orientation to agriculture.
Agricultural Production,Apple production,https://ourworldindata.org/grapher/apple-production,"<iframe src=""https://ourworldindata.org/grapher/apple-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Apple production is measured in tonnes.
Agricultural Production,Arable land use per person,https://ourworldindata.org/grapher/arable-land-use-per-person,"<iframe src=""https://ourworldindata.org/grapher/arable-land-use-per-person?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Arable land is defined by the FAO as land under temporary crops, temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. It is measured in hectares per person."
Agricultural Production,Average farm size,https://ourworldindata.org/grapher/average-farm-size,"<iframe src=""https://ourworldindata.org/grapher/average-farm-size?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Data source: Lowder et al. (2016). The number, size, and distribution of farms, smallholder farms, and family farms worldwide. World Development."
Agricultural Production,Avocado production,https://ourworldindata.org/grapher/avocado-production,"<iframe src=""https://ourworldindata.org/grapher/avocado-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Avocado production is measured in tonnes.
Agricultural Production,Banana production,https://ourworldindata.org/grapher/banana-production,"<iframe src=""https://ourworldindata.org/grapher/banana-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Data source: Food and Agriculture Organization of the United Nations (2023)
Agricultural Production,Banana production by region,https://ourworldindata.org/grapher/banana-production-by-region,"<iframe src=""https://ourworldindata.org/grapher/banana-production-by-region?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Data source: Food and Agriculture Organization of the United Nations (2023)
Agricultural Production,Barley production,https://ourworldindata.org/grapher/barley-production,"<iframe src=""https://ourworldindata.org/grapher/barley-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Barley production is measured in tonnes.
Agricultural Production,Bean production,https://ourworldindata.org/grapher/bean-production,"<iframe src=""https://ourworldindata.org/grapher/bean-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Bean (dry) production is measured in tonnes.
Agricultural Production,Breakdown of habitable land area,https://ourworldindata.org/grapher/breakdown-habitable-land,"<iframe src=""https://ourworldindata.org/grapher/breakdown-habitable-land?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Habitable land is defined as ice- and barren-free land. Agricultural land is the sum of croplands and pasture for grazing.
Agricultural Production,Cashew nut production,https://ourworldindata.org/grapher/cashew-nut-production,"<iframe src=""https://ourworldindata.org/grapher/cashew-nut-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Cashew nut production is measured in tonnes.
Agricultural Production,Cassava production,https://ourworldindata.org/grapher/cassava-production,"<iframe src=""https://ourworldindata.org/grapher/cassava-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Cassava production is measured in tonnes.
Agricultural Production,Cereal production,https://ourworldindata.org/grapher/cereal-production,"<iframe src=""https://ourworldindata.org/grapher/cereal-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Cereal production is measured in tonnes, and represents the total of all cereal crops including maize, wheat, rice, barley, rye, millet and others."
Agricultural Production,"Cereals allocated to food, animal feed and fuel",https://ourworldindata.org/grapher/cereal-distribution-to-uses,"<iframe src=""https://ourworldindata.org/grapher/cereal-distribution-to-uses?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Cereal crops allocated to direct human consumption, used for animal feed, and other uses – mainly industrial uses such as biofuel production. This is based on domestic supply quantity for countries after correction for imports, exports and stocks."
Agricultural Production,Cereals: which countries are net importers and exporters?,https://ourworldindata.org/grapher/cereals-imports-vs-exports,"<iframe src=""https://ourworldindata.org/grapher/cereals-imports-vs-exports?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Imports and exports are measured as the net sum of all cereal crop varieties. Countries which lie above the grey line are net importers of cereals; those below the line are net exporters.
Agricultural Production,Change in corn production and land use in the United States,https://ourworldindata.org/grapher/corn-production-land-us,"<iframe src=""https://ourworldindata.org/grapher/corn-production-land-us?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Values measure the percentage change in production and land use relative to the first year of the time-series.
Agricultural Production,Change of cereal yield and land used for cereal production,https://ourworldindata.org/grapher/change-of-cereal-yield-vs-land-used,"<iframe src=""https://ourworldindata.org/grapher/change-of-cereal-yield-vs-land-used?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Data source: Food and Agriculture Organization of the United Nations (2023)
Agricultural Production,Chicken meat production,https://ourworldindata.org/grapher/chicken-meat-production,"<iframe src=""https://ourworldindata.org/grapher/chicken-meat-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Chicken meat production is measured in tonnes per year.
Agricultural Production,Cocoa bean production,https://ourworldindata.org/grapher/cocoa-bean-production,"<iframe src=""https://ourworldindata.org/grapher/cocoa-bean-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Cocoa bean production is measured in tonnes.
Agricultural Production,Cocoa bean production by region,https://ourworldindata.org/grapher/cocoa-beans-production-by-region,"<iframe src=""https://ourworldindata.org/grapher/cocoa-beans-production-by-region?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Global production of cocoa beans, measured in tonnes of production per year."
Agricultural Production,Coffee bean production,https://ourworldindata.org/grapher/coffee-bean-production,"<iframe src=""https://ourworldindata.org/grapher/coffee-bean-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Coffee bean production is measured in tonnes.
Agricultural Production,Coffee production by region,https://ourworldindata.org/grapher/coffee-production-by-region,"<iframe src=""https://ourworldindata.org/grapher/coffee-production-by-region?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Data source: Food and Agriculture Organization of the United Nations (2023)
